zip5,lat,lon
46001,40.25141,-85.65806
46011,40.130099,-85.760763
46012,40.15467,-85.619672
46013,40.048008,-85.681621
46016,40.097817,-85.681513
46017,40.069281,-85.607157
46030,40.159492,-86.009481
46031,40.210959,-86.018085
46032,39.966569,-86.175131
46033,39.979283,-86.085557
46034,40.127928,-86.046774
46035,40.190015,-86.677981
46036,40.295168,-85.831108
46037,39.960563,-85.947162
46038,39.966704,-86.017173
46039,40.369458,-86.312273
46040,39.927284,-85.834273
46041,40.295035,-86.493864
46044,40.211777,-85.792705
46045,40.288764,-86.14986
46047,40.28414,-85.947357
46048,39.955502,-85.801732
46049,40.295013,-86.22179
46050,40.204436,-86.348899
46051,40.057947,-85.837297
46052,40.043041,-86.456737
46055,39.888415,-85.90221
46056,39.97585,-85.611772
46057,40.336265,-86.377328
46058,40.361165,-86.647377
46060,40.064624,-85.915911
46062,40.06129,-86.055942
46063,40.270445,-85.724032
46064,39.981682,-85.738762
46065,40.427348,-86.610394
46068,40.376963,-86.115827
46069,40.138748,-86.230316
46070,40.335558,-85.662369
46071,40.119444,-86.609079
46072,40.286104,-86.067353
46074,40.036496,-86.176594
46075,40.020696,-86.3308
46076,40.356035,-85.928005
46077,39.984562,-86.282625
46103,39.688619,-86.61362
46104,39.65847,-85.60183
46105,39.764072,-86.810568
46106,39.513173,-86.205119
46107,39.716551,-86.091494
46110,39.559506,-85.919403
46111,39.538824,-86.369536
46112,39.86391,-86.382425
46113,39.636299,-86.302553
46115,39.738754,-85.566649
46117,39.814706,-85.615963
46118,39.662375,-86.518005
46120,39.511408,-86.789098
46121,39.679042,-86.678783
46122,39.773312,-86.551134
46123,39.764437,-86.403388
46124,39.370005,-85.927899
46125,39.521518,-86.641603
46126,39.618024,-85.88034
46127,39.711952,-85.312209
46128,39.658583,-86.742562
46130,39.672748,-85.835022
46131,39.473489,-86.043592
46133,39.595055,-85.310832
46135,39.654571,-86.893996
46140,39.801973,-85.772071
46142,39.62181,-86.175319
46143,39.59586,-86.116319
46144,39.655159,-85.647354
46146,39.585666,-85.568334
46147,39.971149,-86.622827
46148,39.8114,-85.512466
46149,39.883138,-86.553506
46150,39.545464,-85.602908
46151,39.457238,-86.433288
46155,39.743501,-85.429741
46156,39.489361,-85.49445
46157,39.55363,-86.528731
46158,39.579356,-86.373602
46160,39.351134,-86.268692
46161,39.670206,-85.696152
46162,39.555779,-85.953942
46163,39.730807,-85.900593
46164,39.32783,-86.126245
46165,39.849817,-86.64015
46166,39.432913,-86.587296
46167,39.876973,-86.467801
46168,39.685149,-86.392928
46171,39.525101,-86.960902
46172,39.827835,-86.818464
46173,39.600822,-85.4309
46175,39.815724,-86.966359
46176,39.527352,-85.774306
46180,39.592189,-86.618525
46181,39.372155,-86.171601
46182,39.458578,-85.669424
46183,39.652682,-86.281654
46184,39.561936,-86.072222
46186,39.894213,-85.644782
46201,39.774181,-86.109193
46202,39.784102,-86.163477
46203,39.737607,-86.096937
46204,39.771994,-86.156997
46205,39.829437,-86.134381
46208,39.819071,-86.171083
46214,39.792817,-86.291528
46216,39.866252,-86.011489
46217,39.674631,-86.191451
46218,39.807277,-86.099711
46219,39.782412,-86.042939
46220,39.867114,-86.108848
46221,39.692251,-86.237813
46222,39.790968,-86.21526
46224,39.795413,-86.25689
46225,39.740314,-86.163255
46226,39.838896,-86.052485
46227,39.674763,-86.132676
46228,39.848228,-86.200725
46229,39.788237,-85.977015
46231,39.715601,-86.320586
46234,39.813309,-86.326363
46235,39.836957,-85.974537
46236,39.896639,-85.968156
46237,39.67189,-86.074788
46239,39.721517,-85.999033
46240,39.906045,-86.124635
46241,39.730422,-86.277774
46250,39.898839,-86.058805
46254,39.849717,-86.271637
46256,39.908383,-86.013138
46259,39.650921,-85.981462
46260,39.898143,-86.177595
46268,39.898613,-86.233341
46278,39.892944,-86.298055
46280,39.933838,-86.1352
46290,39.936849,-86.162171
46301,41.691148,-86.978774
46303,41.373627,-87.479284
46304,41.613633,-87.046206
46307,41.403169,-87.328359
46310,41.179926,-87.2308
46311,41.465159,-87.509041
46312,41.646953,-87.453983
46319,41.525472,-87.422201
46320,41.691785,-87.510923
46321,41.54691,-87.504589
46322,41.546622,-87.457616
46323,41.589434,-87.453729
46324,41.583791,-87.501995
46327,41.62787,-87.498701
46340,41.382571,-86.770664
46341,41.309672,-87.214561
46342,41.518185,-87.244908
46345,41.527347,-86.698425
46346,41.472199,-86.692462
46347,41.304956,-87.007329
46348,41.310322,-86.861894
46349,41.097944,-87.412468
46350,41.607057,-86.721724
46356,41.255858,-87.42272
